Model,Config/Weights,Recall@10,NDCG@10
MF,"{""factors"": 100, ""lr"": 0.005, ""reg"": 0.01, ""epochs"": 50}",,
Hybrid-MF (Best Recall),"{""pop"": 0.0, ""mf"": 0.8, ""cb"": 0.19999999999999996, ""score"": 0.5258064516129032}",0.5258064516129032,
Hybrid-MF (Best NDCG),"{""pop"": 0.7000000000000001, ""mf"": 0.0, ""cb"": 0.29999999999999993, ""score"": 0.23984515628574962}",,0.23984515628574962
Hybrid-NCF (Best Recall),"{""pop"": 0.0, ""ncf"": 1.0, ""cb"": 0.0, ""score"": 0.5193548387096775}",0.5193548387096775,
Hybrid-NCF (Best NDCG),"{""pop"": 0.1, ""ncf"": 0.7000000000000001, ""cb"": 0.19999999999999996, ""score"": 0.250016844916416}",,0.250016844916416
Hybrid-NCF (ValLoss Recall),"{""pop"": 0.0, ""ncf"": 1.0, ""cb"": 0.0, ""score"": 0.5193548387096775}",0.5193548387096775,
Hybrid-NCF (ValLoss NDCG),"{""pop"": 0.1, ""ncf"": 0.7000000000000001, ""cb"": 0.19999999999999996, ""score"": 0.250016844916416}",,0.250016844916416
Hybrid-SASRec (Best Recall),"{""pop"": 0.30000000000000004, ""mf"": 0.2, ""cb"": 0.49999999999999994, ""score"": 0.5032258064516129}",0.5032258064516129,
Hybrid-SASRec (Best NDCG),"{""pop"": 0.30000000000000004, ""mf"": 0.6000000000000001, ""cb"": 0.09999999999999987, ""score"": 0.24016063889577594}",,0.24016063889577594
