Model,Recall@10,NDCG@10,Precision@10,MAP@10
MetaHybrid-LR,0.583871,0.286594,0.060333,0.190933
RandomForest,0.532258,0.251495,0.055,0.162586
KG,0.532258,0.248624,0.055,0.160563
